TABLE_NAME	INDEX_NAME	COLUMN_NAME	SEQ_IN_INDEX
iot_factory_collab_energy_reading	uk_factory_collab_energy_slot	device_name	4
iot_factory_collab_energy_reading	uk_factory_collab_energy_slot	stat_time	5
iot_factory_collab_energy_reading	uk_factory_collab_energy_slot	deleted	6
iot_factory_collab_maintenance_order	uk_factory_collab_order_code	order_code	1
iot_factory_collab_maintenance_order	uk_factory_collab_order_code	deleted	2
iot_factory_collab_production_plan	uk_factory_collab_plan_code	plan_code	1
iot_factory_collab_production_plan	uk_factory_collab_plan_code	deleted	2
iot_factory_compliance_batch_trace	uk_factory_compliance_batch_trace	tenant_id	1
iot_factory_compliance_batch_trace	uk_factory_compliance_batch_trace	batch_code	2
iot_factory_compliance_batch_trace	uk_factory_compliance_batch_trace	deleted	3
iot_factory_compliance_env_point	uk_factory_compliance_env_point	tenant_id	1
iot_factory_compliance_env_point	uk_factory_compliance_env_point	region_name	2
iot_factory_compliance_env_point	uk_factory_compliance_env_point	point_name	3
iot_factory_compliance_env_point	uk_factory_compliance_env_point	deleted	4
iot_factory_compliance_gmp_point	uk_factory_compliance_gmp_point	tenant_id	1
iot_factory_compliance_gmp_point	uk_factory_compliance_gmp_point	point_name	2
iot_factory_compliance_gmp_point	uk_factory_compliance_gmp_point	deleted	3
iot_factory_environmental_alert	uk_factory_environmental_alert_event	tenant_id	1
iot_factory_environmental_alert	uk_factory_environmental_alert_event	point_id	2
iot_factory_environmental_alert	uk_factory_environmental_alert_event	alert_title	3
iot_factory_environmental_alert	uk_factory_environmental_alert_event	happened_at	4
iot_factory_environmental_alert	uk_factory_environmental_alert_event	deleted	5
iot_factory_environmental_point	uk_factory_environmental_point_code	point_code	1
iot_factory_environmental_point	uk_factory_environmental_point_code	deleted	2
iot_factory_environmental_reading	uk_factory_environmental_reading_slot	tenant_id	1
iot_factory_environmental_reading	uk_factory_environmental_reading_slot	point_id	2
iot_factory_environmental_reading	uk_factory_environmental_reading_slot	recorded_at	3
iot_factory_environmental_reading	uk_factory_environmental_reading_slot	deleted	4
iot_factory_report_record	uk_factory_report_record_name	tenant_id	1
iot_factory_report_record	uk_factory_report_record_name	report_name	2
iot_factory_report_record	uk_factory_report_record_name	deleted	3
iot_factory_report_template	uk_factory_report_template_code	tenant_id	1
iot_factory_report_template	uk_factory_report_template_code	template_code	2
iot_factory_report_template	uk_factory_report_template_code	deleted	3
iot_hydrology_daily_stat	uk_station_date	station_id	1
iot_hydrology_daily_stat	uk_station_date	stat_date	2
iot_hydrology_region	uk_region_code	region_code	1
iot_hydrology_region	uk_region_code	deleted	2
iot_hydrology_station	uk_station_code	station_code	1
iot_hydrology_station	uk_station_code	deleted	2
iot_job_type_definition	uk_code	code	1
iot_keding_device	uk_station_code	station_code	1
iot_keding_device	uk_station_code	deleted	2
iot_message_idempotent	uk_message_id_topic	message_id	1
iot_message_idempotent	uk_message_id_topic	topic	2
iot_message_idempotent	uk_message_id_topic	deleted	3
iot_parking_wechat_user	uk_openid	openid	1
iot_parking_wechat_user	uk_openid	deleted	2
iot_parking_wechat_user	uk_username	username	1
iot_parking_wechat_user	uk_username	deleted	2
iot_patrol_plan	uk_plan_code	plan_code	1
iot_patrol_plan	uk_plan_code	deleted	2
iot_patrol_plan	uk_plan_code	tenant_id	3
iot_patrol_point	uk_point_code	point_code	1
iot_patrol_point	uk_point_code	deleted	2
iot_patrol_point	uk_point_code	tenant_id	3
