mysql: [Warning] Using a password on the command line interface can be insecure.
kind	TABLE_NAME	COLUMN_NAME	EXTRA
PK	iot_job_type_definition	id	auto_increment
PK	iot_keding_alarm	id	auto_increment
PK	iot_keding_control_log	id	auto_increment
PK	iot_keding_device	id	auto_increment
PK	iot_keding_firmware	id	auto_increment
PK	iot_keding_upgrade_log	id	auto_increment
PK	iot_keding_upgrade_task	id	auto_increment
PK	iot_message_idempotent	id	auto_increment
PK	iot_ota_firmware	id	auto_increment
PK	iot_ota_task	id	auto_increment
PK	iot_ota_task_record	id	auto_increment
PK	iot_parking_blacklist	id	auto_increment
PK	iot_parking_charge_rule	id	auto_increment
PK	iot_parking_charge_rule_apply	id	auto_increment
PK	iot_parking_free_vehicle	id	auto_increment
PK	iot_parking_gate	id	auto_increment
PK	iot_parking_lane	id	auto_increment
PK	iot_parking_lot	id	auto_increment
PK	iot_parking_monthly_recharge	id	auto_increment
PK	iot_parking_monthly_vehicle	id	auto_increment
PK	iot_parking_pass_rule	id	auto_increment
PK	iot_parking_present_vehicle	id	auto_increment
PK	iot_parking_record	id	auto_increment
PK	iot_parking_refund_record	id	auto_increment
PK	iot_parking_system_config	id	auto_increment
PK	iot_parking_wechat_user	id	auto_increment
PK	iot_patrol_plan	id	auto_increment
PK	iot_patrol_point	id	auto_increment
PK	iot_patrol_record	id	auto_increment
PK	iot_patrol_route	id	auto_increment
PK	iot_product_category	id	auto_increment
PK	iot_rule_scene	id	auto_increment
PK	iot_scene_rule	id	auto_increment
PK	iot_scheduled_task_config	id	auto_increment
PK	iot_service_call_log	id	auto_increment
PK	iot_service_config	id	auto_increment
PK	iot_subsystem	id	auto_increment
PK	iot_task_execution_log	id	auto_increment
PK	iot_thing_model	id	auto_increment
PK	iot_think_model_function	id	auto_increment
PK	iot_ui_component_template	id	auto_increment
PK	iot_video_inspection_task	id	auto_increment
PK	iot_video_patrol_plan	id	auto_increment
PK	iot_video_patrol_point	id	auto_increment
PK	iot_video_patrol_record	id	auto_increment
PK	iot_video_patrol_scene	id	auto_increment
PK	iot_video_patrol_scene_channel	id	auto_increment
PK	iot_video_patrol_schedule	id	auto_increment
PK	iot_video_patrol_schedule_log	id	auto_increment
PK	iot_video_patrol_task	id	auto_increment
PK	iot_video_view	id	auto_increment
PK	iot_video_view_group	id	auto_increment
PK	iot_video_view_pane	id	auto_increment
PK	iot_visitor_abnormal_event	id	auto_increment
PK	iot_visitor_appointment	id	auto_increment
PK	security_face_capture	id	auto_increment
PK	security_face_recognition	id	auto_increment
PK	security_personnel_control	id	auto_increment
PK	security_personnel_library	id	auto_increment
PK	security_personnel_track	id	auto_increment
PK	security_statistics	id	auto_increment
PK	security_vehicle_capture	id	auto_increment
PK	security_video_analysis_alarm	id	auto_increment
PK	security_video_analysis_task	id	auto_increment
